from,to,weight
10713,14263,4
10713,14873,4
10713,15019,4
10713,15029,4
10713,15033,4
10713,15124,4
10713,15410,4
10713,15431,4
10713,15438,4
10713,15444,2
10713,15448,4
10713,15454,4
10713,15603,4
10713,15612,4
10713,15616,4
10713,20104,4
10713,20108,4
10713,20119,4
10713,20122,4
10713,20134,1
10713,20136,4
10713,20145,4
10713,20147,4
10713,20305,4
10713,20310,4
10713,20321,4
10713,20329,4
10713,20340,4
10713,20343,4
10713,20501,3
10713,20504,4
10713,20505,2
10713,20508,2
10713,20517,4
10713,20519,4
10713,20529,4
10713,20533,3
10713,20536,0.5
10713,20537,4
10713,20538,4
10713,20542,4
10713,20702,4
10713,20705,4
10713,20706,4
10713,20708,4
10713,20712,4
10713,20720,4
10713,20723,4
10713,20724,4
10713,20726,4
10713,20727,4
10713,20731,4
10713,20733,4
10713,20748,4
10713,20749,4
10713,20750,4
10713,20754,4
10713,20757,4
10713,20759,1.5
10713,20762,4
10713,20904,4
10713,20906,1
10713,20907,4
10713,20920,4
10713,20927,4
10713,20932,4
10713,20934,4
10713,20941,4.5
10713,20944,3.5
10713,20946,1
10713,20952,4
10713,20954,4
10713,20955,4
10713,20958,4
10713,20959,4
10713,21102,4
10713,21103,0.5
10713,21110,4.5
10713,21118,4
10713,21124,4
10713,21137,4
10713,21140,4
10713,21167,1
10713,21168,1
10713,21171,1
10713,21172,4
10713,21176,2
10713,21177,1
10713,21198,4.5
10713,21300,4
10713,21303,3.5
10713,21304,4
10713,21306,4
10713,21308,4
10713,21309,4
10713,21311,4
10713,21312,4
10713,21313,4
10713,21314,4
10713,21315,4
10713,21316,4
10713,21321,4
10713,21324,3
10713,21326,4
10713,21329,4
10713,21334,4
10713,21335,4
10713,21340,4
10713,21341,4
10713,21342,4
10713,21343,4
10713,21344,4
10713,21352,4
10713,21353,0.5
10713,21357,1
10713,21358,4
10713,21361,4
10713,21362,4
10713,21365,3.5
10713,21366,4
10713,21368,4
10713,21369,4
10713,21370,4
10713,21371,4
10713,21372,4
10713,21375,4
10713,21502,4
10713,21504,4
10713,21506,4
10713,21507,3.5
10713,21508,4
10713,21525,4
10713,21529,4
10713,21530,4
10713,21532,2
10713,21536,4
10713,21538,4
10713,21540,4
10713,21545,4
10713,21548,4
10713,21554,4.5
10713,21566,4
10713,21703,4
10713,21706,4
10713,21707,4
10713,21709,4
10713,21711,4
10713,21712,4
10713,21713,4
10713,21715,4
10713,21722,4
10713,21723,4
10713,21726,4
10713,21728,4
10713,21729,4
10713,21730,4
10713,21732,4
10713,21736,4
10713,21738,4
10713,21739,4
10713,21740,4
10713,21741,4
10713,21743,4
10713,21746,4
10713,21747,4
10713,21753,0.5
10713,29106,4
10713,29109,4
10713,29127,2
10713,29134,4
10713,29312,4
10713,29317,4
10713,29337,4
10713,29339,4
10713,29346,2
10713,29348,4
10713,29368,4
10713,29377,4
10713,29378,3.5
10713,29379,4
10713,29504,4
10713,29546,2
10713,29561,4
10713,29571,4
10713,29573,4
10713,29587,5.5
10713,29588,2
10713,29707,4
10713,29710,4
10713,29717,4.5
10713,29729,4
10713,29741,4
10713,29768,4
10713,29769,5
10713,29776,4
10713,29777,4
10713,29778,4
10713,29901,4
10713,29903,4
10713,29908,4
10713,29911,4
10713,29919,4
10713,29925,4
10713,31101,4
10713,31103,3
10713,39301,4
10713,39304,4
10713,39305,2
10713,39307,4
14066,14657,7
14066,14854,7
14066,14863,7
14066,15085,7
14066,15444,2
14066,15445,7
14066,15446,7
14066,15455,7
14066,15621,7
14066,15634,7
14066,20107,7
14066,20124,7
14066,20130,4
14066,20134,6
14066,20136,1
14066,20138,7
14066,20139,7
14066,20301,7
14066,20304,4
14066,20307,7
14066,20316,7
14066,20325,6
14066,20337,7
14066,20342,7
14066,20344,7
14066,20346,4
14066,20351,7
14066,20352,7
14066,20355,7
14066,20356,7
14066,20357,7
14066,20501,1
14066,20505,2
14066,20508,4
14066,20518,7
14066,20521,7
14066,20522,7
14066,20526,7
14066,20527,7
14066,20528,7
14066,20530,7
14066,20531,7
14066,20532,7
