from,to
941080085121175552,1078693601356509184
941080085121175552,193794406
941080085121175552,76649729
941080085121175552,22044727
941080085121175552,29442313
941080085121175552,486694111
941080085121175552,1262099252
941080085121175552,1074518754
941080085121175552,225921757
941080085121175552,221162525
941080085121175552,171598736
941080085121175552,92186819
941080085121175552,242836537
941080085121175552,15324851
941080085121175552,2955485182
941080085121175552,18061669
941080085121175552,19726613
941080085121175552,1068481578
941080085121175552,803694179079458816
941080085121175552,18695134
941080085121175552,21406834
941080085121175552,291756142
941080085121175552,109071031
941080085121175552,43910797
941080085121175552,76456274
941080085121175552,236511574
941080085121175552,476256944
941080085121175552,224285242
941080085121175552,18137749
941080085121175552,242555999
941080085121175552,816683274076614656
941080085121175552,217543151
941080085121175552,1099199839
941080085121175552,600463589
941080085121175552,234374703
941080085121175552,811313565760163844
941080085121175552,941000686275387392
941080085121175552,249787913
941080085121175552,7429102
941080085121175552,2863210809
941080085121175552,278124059
941080085121175552,1058520120
941080085121175552,247334603
941080085121175552,250188760
941080085121175552,293131808
941080085121175552,29201047
941080085121175552,60828944
941080085121175552,109287731
941080085121175552,117501995
941080085121175552,515822213
941080085121175552,970207298
941080085121175552,2167097881
941080085121175552,17494010
941080085121175552,21111098
21111098,1048784496
21111098,234128524
21111098,1080870981877534720
21111098,1078693601356509184
21111098,17494010
21111098,18137749
21111098,1074518754
21111098,1262099252
21111098,15324851
21111098,109287731
21111098,515822213
21111098,247334603
21111098,476256944
21111098,293131808
21111098,816683274076614656
21111098,11651202
21111098,983348251972816896
21111098,941080085121175552
21111098,193794406
21111098,1096059529
21111098,234374703
21111098,1071402577
21111098,486694111
21111098,382791093
21111098,217543151
21111098,225921757
21111098,235217558
21111098,968650362
21111098,2962923040
21111098,2856787757
21111098,2863210809
21111098,2964174789
21111098,1074480192
21111098,43910797
21111098,242836537
21111098,18915145
21111098,296361085
21111098,600463589
21111098,291756142
21111098,29201047
21111098,229966028
21111098,18695134
21111098,264219447
21111098,339822881
21111098,221162525
21111098,216881337
21111098,18061669
21111098,18632666
21111098,88784440
21111098,233737858
21111098,78403308
21111098,10615232
21111098,21157904
21111098,5558312
21111098,21269970
21111098,75364211
21111098,14845376
21111098,76649729
21111098,202206694
21111098,19726613
21111098,13218102
2891210047,1080844782
2891210047,2964949642
2891210047,1048784496
2891210047,1080870981877534720
2891210047,22044727
2891210047,970207298
2891210047,17494010
2891210047,234128524
2891210047,249787913
2891210047,816683274076614656
2891210047,1074518754
2891210047,171598736
2891210047,7429102
2891210047,247334603
2891210047,92186819
2891210047,1262099252
2891210047,515822213
2891210047,476256944
2891210047,242836537
2891210047,242555999
2891210047,486694111
2891210047,11651202
2891210047,236511574
2891210047,1068481578
2891210047,225921757
2891210047,2863210809
2891210047,2955485182
2891210047,234374703
2891210047,2856787757
2891210047,193794406
2891210047,968650362
2891210047,14845376
2891210047,233737858
2891210047,10615232
2891210047,235217558
2891210047,2962923040
2891210047,2964174789
