X1,from,to,weight,type,date,party
3,peteraltmaier,c_lindner,1,mention,17470,CDU
4,peteraltmaier,peter_simone,1,mention,17470,CDU
6,JuliaKloeckner,peteraltmaier,1,retweet,17487,CDU
7,peteraltmaier,JuliaKloeckner,1,mention,17487,CDU
8,KerstinAndreae,BriHasselmann,1,mention,17463,DIE GRUENEN
9,MariaKlSchmeink,KerstinAndreae,1,retweet,17463,DIE GRUENEN
10,KerstinAndreae,MariaKlSchmeink,1,mention,17463,DIE GRUENEN
11,KerstinAndreae,BriHasselmann,1,mention,17463,DIE GRUENEN
12,agnieszka_mdb,KerstinAndreae,1,retweet,17463,DIE GRUENEN
13,KerstinAndreae,agnieszka_mdb,1,mention,17463,DIE GRUENEN
14,KerstinAndreae,BriHasselmann,1,mention,17463,DIE GRUENEN
15,KerstinAndreae,ThomasOppermann,1,mention,17463,DIE GRUENEN
16,KerstinAndreae,BriHasselmann,1,mention,17463,DIE GRUENEN
17,BriHasselmann,KerstinAndreae,1,retweet,17463,DIE GRUENEN
18,KerstinAndreae,BriHasselmann,1,mention,17463,DIE GRUENEN
19,cem_oezdemir,KerstinAndreae,1,retweet,17464,DIE GRUENEN
20,KerstinAndreae,cem_oezdemir,1,mention,17464,DIE GRUENEN
21,DJanecek,KerstinAndreae,1,retweet,17465,DIE GRUENEN
22,KerstinAndreae,DJanecek,1,mention,17465,DIE GRUENEN
23,KerstinAndreae,annachristmann,1,mention,17465,DIE GRUENEN
25,DerDanyal,KerstinAndreae,1,retweet,17466,DIE GRUENEN
26,KerstinAndreae,DerDanyal,1,mention,17466,DIE GRUENEN
27,KerstinAndreae,cem_oezdemir,1,mention,17466,DIE GRUENEN
28,GoeringEckardt,KerstinAndreae,1,retweet,17471,DIE GRUENEN
29,KerstinAndreae,GoeringEckardt,1,mention,17471,DIE GRUENEN
30,MiKellner,KerstinAndreae,1,retweet,17480,DIE GRUENEN
31,KerstinAndreae,MiKellner,1,mention,17480,DIE GRUENEN
33,KerstinAndreae,Beatrix_vStorch,1,mention,17484,DIE GRUENEN
39,soerenbartol,NielsAnnen,1,retweet,17466,SPD
40,NielsAnnen,soerenbartol,1,mention,17466,SPD
42,NielsAnnen,MartinSchulz,1,mention,17467,SPD
43,FlorianPronold,NielsAnnen,1,retweet,17468,SPD
44,NielsAnnen,FlorianPronold,1,mention,17468,SPD
45,NielsAnnen,MartinSchulz,1,mention,17468,SPD
46,NielsAnnen,marcobuelow,1,mention,17470,SPD
47,NielsAnnen,marcobuelow,1,mention,17470,SPD
48,Karl_Lauterbach,NielsAnnen,1,retweet,17473,SPD
49,NielsAnnen,Karl_Lauterbach,1,mention,17473,SPD
