name,partei
mvabercron,CDU
peteraltmaier,CDU
KerstinAndreae,DIE GRUENEN
NielsAnnen,SPD
badulrichmartha,DIE GRUENEN
DoroBaer,CSU
ABaerbock,DIE GRUENEN
Thomas_Bareiss,CDU
SBarrientosK,DIE LINKE
soerenbartol,SPD
baerbelbas,SPD
MargareteBause,DIE GRUENEN
LieblingXhain,DIE GRUENEN
jensbeeck,FDP
nicolabeerfdp,FDP
MaikBeermann,CDU
SybilleBenning,CDU
MarcBernhardAfD,AFD
c_bernstiel,CDU
lgbeutin,DIE LINKE
SteffenBilger,CDU
Lothar_Binding,SPD
MWBirkwald,DIE LINKE
AndreasBleckMdB,AFD
PeterBoehringer,AFD
BraFDP,FDP
JuergenBraunAfD,AFD
Brehm_inNBGNord,CSU
HeikeBrehmerMdB,CDU
LeniBreymaier,SPD
rbrinkhaus,CDU
agnieszka_mdb,DIE GRUENEN
ch_buchholz,DIE LINKE
Marcus_Buehl,AFD
marcobuelow,SPD
Buettner_MdB,AFD
Birke_Bull,DIE LINKE
BurkertMartin,SPD
PetrBystronAfD,AFD
Tino_Chrupalla,AFD
JoanaCotar,AFD
GottfriedCurio,AFD
FabioDeMasi,DIE LINKE
ekindeligoez,DIE GRUENEN
KarambaDiaby,SPD
dittmarsabine,SPD
katjadoerner,DIE GRUENEN
anked,DIE LINKE
katdro,DIE GRUENEN
christianduerr,FDP
HartmutEbbing,FDP
ebner_sha,DIE GRUENEN
Thomas_Ehrhorn,AFD
ElsnervonGronow,AFD
ernst_klaus,DIE LINKE
DFoest,FDP
FrankeEdgar,SPD
MdB_Freihold,DIE LINKE
Otto_Fricke,FDP
Friedhoff_AfD,AFD
DrFriesenMdB,AFD
MichaelFrieser,CSU
Frohnmaier_AfD,AFD
fuchtel,CDU
SylviaGabelmann,DIE LINKE
sigmargabriel,SPD
MatthiasGastel,DIE GRUENEN
KaiGehring,DIE GRUENEN
StefanGelbhaar,DIE GRUENEN
A_Gloeckner,SPD
GoeringEckardt,DIE GRUENEN
NicoleGohlke,DIE LINKE
vonGottberg_AfD,AFD
KayGottschalk1,AFD
Timon_Gremmels,SPD
KerstinGriese,SPD
groehe,CDU
UliGroetsch,SPD
michaelgrossmdb,SPD
GruebelMdb,CDU
olavgutting,CDU
hacker_fdp,FDP
HeikeHaensel,DIE LINKE
RitaHaglKehl,SPD
hahnflo,CSU
HajdukBundestag,DIE GRUENEN
MetinHakverdi,SPD
juergenhardt,CDU
sebast_hartmann,SPD
R_Hartwig_AfD,AFD
BriHasselmann,DIE GRUENEN
MatthiasHauer,CDU
Jochen_Haug,AFD
MarkHauptmann,CDU
hubertus_heil,SPD
MechthildHeil,CDU
FrankHeinrich,CDU
MarcusHeld_SPD,SPD
KatrinHelling,FDP
HellmichMdB,SPD
torstenherbst,FDP
WaldemarHerdt,AFD
Herrmann_AfD,AFD
Martin_Hess_AfD,AFD
fdp_hessel,FDP
GabiHillerOhm,SPD
ChristianHirte,CDU
ThomasHitschler,SPD
ManuelHoeferlin,FDP
EvaHoegl,SPD
MatthiasHoehn,DIE LINKE
Leif_Erik_Holm,AFD
OWvonHoltz,DIE GRUENEN
HoubenReinhard,FDP
Huber_AfD,AFD
AndrejHunko,DIE LINKE
olafinderbeek,FDP
DJanecek,DIE GRUENEN
tj_tweets,CDU
UllaJelpke,DIE LINKE
