publisher,city
37 ink atria,"New York City, NY"
abrams,"New York City, NY"
ace,"New York City, NY"
alfred a knopf,"New York City, NY"
algonquin,"Chapel Hill, NC"
all points,"New York City, NY"
all points st martin s,"New York City, NY"
allantine,"New York City, NY"
amistad,"New York City, NY"
amy einhorn putnam,"New York City, NY"
anthony bourdain ecco,"New York City, NY"
archipelago,"New York City, NY"
atlantic 23,"Washington, D.C."
atlantic monthly,"Washington, D.C."
atlantic monthly press,"Washington, D.C."
atria,"New York City, NY"
atria emily bestler,"New York City, NY"
atria emily bestler books,"New York City, NY"
atria keywords,"New York City, NY"
avery,"New York City, NY"
avid reader,"Burlington, MA"
baen,"Wake Forest, NC"
ballantine,"New York City, NY"
ballantine espn,"New York City, NY"
bantam,"New York City, NY"
basic,"New York City, NY"
basic books,"New York City, NY"
beaufort books,"New York City, NY"
belknap,"Cambridge, MA"
belknap harvard university,"Cambridge, MA"
benbella,"Dallas, TX"
berkeley prime crime,"Dallas, TX"
berkley,"New York City, NY"
berkley caliber,"New York City, NY"
berkley sensation,"New York City, NY"
black dog leventhal,"New York City, NY"
bloomsbury,London
blue heeler books,"New York City, NY"
blue rider,"New York City, NY"
broadside,"New York City, NY"
broadside books,"New York City, NY"
broadside harpercollins,"New York City, NY"
broadway,"New York City, NY"
callaway,"New York City, NY"
celadon,"New York City, NY"
celebra,"New York City, NY"
cemetery dance,"Forest Hill, MD"
center street,"New York City, NY"
chronicle prism,"San Francisco, CA"
clarkson potter,"New York City, NY"
collins,"New York City, NY"
collins design harpercollins,"New York City, NY"
convergent,"Colorado Springs, CO"
counterpoint,"San Francisco, CA"
crown,"New York City, NY"
crown archetype,"New York City, NY"
crown business,"New York City, NY"
crown forum,"New York City, NY"
currency,Redfern
current,"Falmouth, ME"
custom house,"New York City, NY"
dangerous books,NA
daw,"New York City, NY"
del rey,"New York City, NY"
del rey ballantine,"New York City, NY"
del rey ballantine lucas,"New York City, NY"
del rey ballantine lucasbooks,"New York City, NY"
delacorte,"New York City, NY"
delacorte press,"New York City, NY"
dey st,"New York City, NY"
dey st morrow,"New York City, NY"
dey street,"New York City, NY"
dey street morrow,"New York City, NY"
dial,"New York City, NY"
doherty,"New York City, NY"
doherty forge,"New York City, NY"
double day,"New York City, NY"
doubleday,"New York City, NY"
dutton,"Boston, MA"
eamon dolan houghton mifflin harcourt,"New York City, NY"
ecco,"New York City, NY"
ecco harpercollins,"New York City, NY"
ecco harpercollins publishers,"New York City, NY"
el léon literary arts atlantic monthly,NA
emily bestler atria,NA
encounter,"New York City, NY"
eos harpercollins,"Seattle, WA"
eos william morrow,"Seattle, WA"
epicenter,"Seattle, WA"
faithwords,"Brentwood, TN"
farrar straus giroux,"New York City, NY"
feiwel friends,"New York City, NY"
flatiron,"New York City, NY"
flatiron books,"New York City, NY"
forefront,"Brentwood, TN"
forge,"New York City, NY"
forge tom doherty,"New York City, NY"
free press,"New York City, NY"
front line,"Barnsley, South Yorkshire, UK"
frontline,"Barnsley, South Yorkshire, UK"
gallery,"New York City, NY"
gallery books,"New York City, NY"
gallery karen hunter,"New York City, NY"
gallery scout,"New York City, NY"
gallery vh1,"New York City, NY"
gotham,"New York City, NY"
grand central,"New York City, NY"
grand central melcher media,"New York City, NY"
greenleaf,"Austin, TX"
grove,"New York City, NY"
hachette,"New York City, NY"
hachette books,"New York City, NY"
hanover square,London
harlequin mira,Toronto
harmony,"New York City, NY"
harper,"New York City, NY"
harper business,"New York City, NY"
harper business harpercollins,"New York City, NY"
harper design,"New York City, NY"
harper harpercollins,"New York City, NY"
harper harpercollins publishers,"New York City, NY"
harper perennial,"New York City, NY"
harper voyager,"New York City, NY"
harper voyager harpercollins,"New York City, NY"
harper voyager harpercollins publishers,"New York City, NY"
harpercollins,"New York City, NY"
harpercollins voyager,"New York City, NY"
harperone,"New York City, NY"
harperone harpercollins,"New York City, NY"
harpervoyager,"New York City, NY"
hay house,"Carlsbad, CA"
henry holt,"New York City, NY"
hogarth,"London, UK"
hogarth shakespeare,"London, UK"
holt,"New York City, NY"
hot books,"New York City, NY"
houghton mifflin,"Boston, MA"
houghton mifflin harcourt,"Boston, MA"
howard,"Brentwood, TN"
howard books,"Brentwood, TN"
hqn,Toronto
humanix,"Boca Raton, FL"
hyperion,"Glendale, CA"
ignatius press,"San Francisco, CA"
it books,"New York City, NY"
it books harpercollins,"New York City, NY"
james h silberman viking,"New York City, NY"
jeter publishing gallery books,"New York City, NY"
jim collins harpercollins,"New York City, NY"
john macrae holt,"New York City, NY"
jossey bass,"San Francisco, CA"
kensington,"New York City, NY"
kingswell,"Glendale, CA"
knopf,"New York City, NY"
knopf mcsweeney s,"New York City, NY"
little brown,"Boston, MA"
little brown and knopf,"Boston, MA"
little brown company,"Boston, MA"
little brown spark,"Boston, MA"
liveright,"New York City, NY"
lucasbooks,"Glendale, CA"
